"barcode","serial_no","manufacturer","value","model","categoryname","statusname","sitename","userfirstname","userlastname","usernickname","locationname",
"IWA00568","aaa01200a","HP","0.00","monitor s2031a","Monitor","OK","Storage Unit - Preston","","","","",
"IWA00570","bayf872646","JBL","0.00","Control 24c Ceiling Mounted Speakers","Audio Equipment","OK","Storage Unit - Preston","","","","",
"IWA00571","901-7341#WW0/","Ruckus","250.00","Wireless Zoneflex 7300","Wireless Equipment","OK","Storage Unit - Preston","","","","",
"IWA00572","211302004998","Ruckus","250.00","Wireless Zoneflex 7300","Wireless Equipment","OK","Storage Unit - Preston","","","","",
"IWA00574","1461107000000","Vision","0.00","Stereo Amplifier AV-1301","Audio Equipment","OK","Storage Unit - Preston","","","","",
"IWA00575","731304269069","APC Schneider","185.00","SMT7501 UPS Unit","UPS (Uninterruptible Power Supplies)","OK","Storage Unit - Preston","","","","",
"IWA00576","14221774","CISCO","80.00","16 Port 10/100 Switch SF100/16","Network Equipment","OK","Storage Unit - Preston","","","","",
"IWA00577","psj161809cp","CISCO","80.00","16 Port 10/100 Switch SF100/16","Network Equipment","OK","Storage Unit - Preston","","","","",
"IWA00578","1111120001279","Vision","50.00","SP-1300 Speaker System","Audio Equipment","OK","Storage Unit - Preston","","","","",
"IWA00579","13868226","Ruckus","700.00","Zone Director 1100","Wireless Equipment","OK","Storage Unit - Preston","","","","",
"IWA00580","04700154774","Draytek","20.00","ADSL Router Vigor 260plus","Wireless Equipment","OK","Storage Unit - Preston","","","","",
"IWA00581","041004644349","Draytek","20.00","ADSL Router Vigor 260plus","Wireless Equipment","OK","Storage Unit - Preston","","","","",
"IWA00582","06c000891901","DrayTek","20.00","Vigor 2800g Wireless Router","Wireless Equipment","OK","Storage Unit - Preston","","","","",
"IWA00583","06100520733","DrayTek","20.00","Vigor 2800g Wireless Router","Wireless Equipment","OK","Storage Unit - Preston","","","","",
"IWA00584","069000804996","DrayTek","20.00","Vigor 2800g Wireless Router","Wireless Equipment","OK","Storage Unit - Preston","","","","",
"IWA00585","fcz1004x263","Cisco","50.00","Catalyst 2950 Series Switch","Network Equipment","OK","Storage Unit - Preston","","","","",
"IWA00586","fcz1004w266","Cisco","50.00","Catalyst 2950 Series Switch","Network Equipment","OK","Storage Unit - Preston","","","","",
"IWA00587","1dv30b3801435","Netgear","40.00","Prosafe 16 port 10/100 Switch","Network Equipment","OK","Storage Unit - Preston","","","","",
"IWA00588","psz16360","Cisco","50.00","SF100D-16p 16 Port Desktop Switch","Network Equipment","Disposed","Storage Unit - Preston","","","","",
"IWA00589","63n0ag010800","RM","10.00","Laptop Z91e","Laptops","OK","Storage Unit - Preston","","","","",
"IWA00590","3537590042","Fujitsu","0.00","Amilo Laptop","Laptops","OK","Storage Unit - Preston","","","","",
"IWA00596","126a3604789","tp-link","0.00","td-w8951nd wireless router","Wireless Equipment","OK","Storage Unit - Preston","","","","",
"IWA00592","12a77504160","tp-link","0.00","td-w8951nd wireless router","Wireless Equipment","OK","Storage Unit - Preston","","","","",
