test,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcode,serial,category,faculty,location,location_barcode,user,make,model,item_status,purchase_value,current_value,notes,purchase_date,warranty_date,replacement_date,pat_status,pat_date,,,,,,,,,,
SPC1032,SFGL1448S411,FURN&EQ,Administration Building,Admin WHS,SPC9004,792,Mobile Pedestal,OE120 2 File,OK,0,,,01-02-14,,01-02-17,,,,,,,,,,,,
SPC1033,SFGL1448S41J,FURN&EQ,Administration Building,Admin WHS,SPC9004,348,Open Bookcase,OE110,OK,0,,,01-02-14,,01-02-17,,,,,,,,,,,,
SPC1034,SFGL1448S41C,FURN&EQ,Administration Building,Admin WHS,SPC9004,348,Open Desk,OE100,OK,0,,,01-02-14,,01-02-17,,,,,,,,,,,,
SPC1035,SFGL1448S416,FURN&EQ,Administration Building,Admin WHS,SPC9004,348,Universal Return,OE103,OK,0,,,01-02-14,,01-02-17,,,,,,,,,,,,
SPC1036,SFGL1448S413,FURN&EQ,Administration Building,Meeting Rooms 1&2,SPC9010,348,Bar Fridge,100L GVAF100,OK,199.09,,,07-07-08,,07-07-11,,,,,,,,,,,,
SPC1037,SFGL1448S414,FURN&EQ,Administration Building,Administration Building,SPC9005,792,Cupboard,with Swing Doors 1800x900x445mmD,OK,374,,,01-09-08,,01-09-11,,,,,,,,,,,,
SPC1038,,FURN&EQ,Administration Building,Administration Building,SPC9005,792,Binder,Unibind XU 238,OK,0,,,12-11-09,,,PASS,30-09-14,,,,,,,,,,
SPC1039,,FURN&EQ,Administration Building,Administration Building,SPC9005,792,Calculator,Sharp,OK,0,,,25-05-05,,,PASS,27-04-12,,,,,,,,,,
SPC1040,,FURN&EQ,Administration Building,Administration Building,SPC9005,792,Calculator,Sharp EL 29001 RH,OK,0,,,22-07-05,,,PASS,12-11-12,,,,,,,,,,
SPC1041,,FURN&EQ,Administration Building,Administration Building,SPC9005,792,Coffee Machine,Breville CMP 12,OK,0,,,27-04-11,,,PASS,30-09-14,,,,,,,,,,
SPC1042,,FURN&EQ,Administration Building,Administration Building,SPC9005,792,Coffee Machine,Breville CMP 12,OK,0,,,27-04-11,,,PASS,30-09-14,,,,,,,,,,
SPC1045,,FURN&EQ,Administration Building,Administration Building,SPC9005,792,Franking,Neo Post,OK,0,,,14-04-05,,,PASS,27-04-12,,,,,,,,,,
SPC1053,,FURN&EQ,Administration Building,Administration Building,SPC9005,792,Laminator,Fellowes SPLa2,OK,0,,,12-07-05,,,PASS,30-09-14,,,,,,,,,,
SPC1054,,5 Yearly Portable Electrical Equip,Administration Building,Administration Building,SPC9005,792,Microwave,National Genius,OK,0,,,20-12-07,,,PASS,30-09-14,,,,,,,,,,
SPC1056,,FURN&EQ,Administration Building,Administration Building,SPC9005,792,Sandwich Toaster,Breville,OK,0,,,05-06-05,,,PASS,30-09-14,,,,,,,,,,
SPC1057,12800740,FURN&EQ,Administration Building,Asst Business Manager,SPC9006,792,Credenza,with Sliding Doors 1200x515x720mm,OK,318,,,01-09-08,,,,,,,,,,,,,,
SPC1058,12800741,FURN&EQ,Administration Building,Asst Business Manager,SPC9006,792,Cupboard,with swing doors 900 x 445mm D,OK,374,,,01-09-08,,,,,,,,,,,,,,
SPC1059,12800742,FURN&EQ,Administration Building,Asst Business Manager,SPC9006,792,Desk,2100x1200x720mm,OK,285,,,01-09-08,,,,,,,,,,,,,,
SPC1060,12800743,FURN&EQ,Administration Building,Asst Business Manager,SPC9006,792,Filing Cabinet,2 drawer with lock,OK,169,,,01-09-08,,,,,,,,,,,,,,
SPC1061,12800744,FURN&EQ,Administration Building,Asst Business Manager,SPC9006,792,Pedestal,Mobile 2D/1F with lock,OK,189,,,01-09-08,,,,,,,,,,,,,,
SPC1062,12800745,FURN&EQ,Administration Building,Asst Business Manager,SPC9006,792,Return,1200x600x720mm,OK,115.5,,,01-09-08,,,,,,,,,,,,,,
SPC1063,12800746,FURN&EQ,Administration Building,Asst Business Manager,SPC9006,792,Software CE Analytics,CE Analytics,OK,2293.5,,,01-07-12,,,,,,,,,,,,,,
SPC1064,12800747,COMPUT-TTC,Administration Building,Asst Business Manager,SPC9006,792,Desktop ACER X4610G I5-2300,GT220 2X2GB 320GB DVDRW,OK,840,,,15-09-11,,,,,,,,,,,,,,
SPC1065,12800749,COMPUT-TTC,Administration Building,Asst Business Manager,SPC9006,349,Monitor ACER LCD 23,V233HLBD,OK,199,,,15-09-11,,,,,,,,,,,,,,
SPC1066,1601662,FURN&EQ,Administration Building,Finance Office,SPC9007,349,Bookcase,Open 1800x900x323mm,OK,209,,,01-09-08,29-04-14,01-09-11,,,,,,,,,,,,
SPC1067,1601663,FURN&EQ,Administration Building,Finance Office,SPC9007,792,Credenza,with Sliding Doors 1200x515x720mm,OK,318,,,01-09-08,29-04-14,01-09-11,,,,,,,,,,,,
SPC1068,1601664,FURN&EQ,Administration Building,Finance Office,SPC9007,792,Cupboard,with Swing Doors 1800x900x445,OK,374,,,01-09-08,29-04-14,01-09-11,,,,,,,,,,,,
